in s,C2 in V
-5.927424E-04,-1.39160E-03
-5.927328E-04,-1.63574E-03
-5.927232E-04,-1.63574E-03
-5.927136E-04,-2.07520E-03
-5.927040E-04,-2.02637E-03
-5.926944E-04,-1.87988E-03
-5.926848E-04,-1.29395E-03
-5.926752E-04,-1.39160E-03
-5.926656E-04,-1.44043E-03
-5.926560E-04,-1.83105E-03
-5.926464E-04,-2.36816E-03
-5.926368E-04,-2.66113E-03
-5.926272E-04,-2.17285E-03
-5.926176E-04,-1.78223E-03
-5.926080E-04,-1.24512E-03
-5.925984E-04,-9.03320E-04
-5.925888E-04,-1.09863E-03
-5.925792E-04,-1.63574E-03
-5.925696E-04,-1.68457E-03
-5.925600E-04,-1.83105E-03
-5.925504E-04,-1.53809E-03
-5.925408E-04,-1.53809E-03
-5.925312E-04,-1.29395E-03
-5.925216E-04,-1.92871E-03
-5.925120E-04,-1.97754E-03
-5.925024E-04,-1.78223E-03
-5.924928E-04,-1.53809E-03
-5.924832E-04,-1.53809E-03
-5.924736E-04,-1.48926E-03
-5.924640E-04,-1.78223E-03
